x,y,z
96.798,20.02,0.492653
96.798,20.025,0.4924319
96.798,20.03,0.4933801
96.798,20.035,0.494273
96.798,20.04,0.4940901
96.798,20.045,0.4945074
96.798,20.05,0.4943845
96.798,20.055,0.4946904
96.798,20.06,0.4944455
96.798,20.065,0.4943035
96.798,20.07,0.494455
96.798,20.075,0.4941415
96.798,20.08,0.4943759
96.798,20.085,0.4944312
96.798,20.09,0.4941815
96.798,20.095,0.4942019
96.798,20.1,0.493989
96.798,20.105,0.4938613
96.798,20.11,0.4938842
96.798,20.115,0.4938346
96.798,20.12,0.494152
96.798,20.125,0.4940824
96.798,20.13,0.493827
96.798,20.135,0.4938766
96.798,20.14,0.4936936
96.798,20.145,0.4938156
96.798,20.15,0.493786
96.798,20.155,0.4936021
96.798,20.16,0.4937451
96.798,20.165,0.493341
96.798,20.17,0.4934763
96.798,20.175,0.4932445
96.798,20.18,0.4933162
96.798,20.185,0.4934325
96.798,20.19,0.4932152
96.798,20.195,0.4933277
96.798,20.2,0.4932743
96.798,20.205,0.4933639
96.798,20.21,0.4930628
96.798,20.215,0.4931523
96.798,20.22,0.4929579
96.798,20.225,0.4930532
96.798,20.23,0.4929112
96.798,20.235,0.4930477
96.798,20.24,0.4929808
96.798,20.245,0.4928148
96.798,20.25,0.492996
96.798,20.255,0.4928425
96.798,20.26,0.4927368
96.798,20.265,0.4925767
96.798,20.27,0.4929198
96.798,20.275,0.4926339
96.798,20.28,0.4926377
96.798,20.285,0.4924319
96.798,20.29,0.4926155
96.798,20.295,0.4923404
96.798,20.3,0.4923309
96.798,20.305,0.4922985
96.798,20.31,0.4924814
96.798,20.315,0.4921384
96.798,20.32,0.4922375
96.798,20.325,0.4920691
96.798,20.33,0.4923604
96.798,20.335,0.4921203
96.798,20.34,0.4917381
96.798,20.345,0.4920555
96.798,20.35,0.4921403
96.798,20.355,0.4917753
96.798,20.36,0.4918734
96.798,20.365,0.4918944
96.798,20.37,0.4917991
96.798,20.375,0.4917457
96.798,20.38,0.4921155
96.798,20.385,0.4916848
96.803,20.02,0.4927178
96.803,20.025,0.4925607
96.803,20.03,0.4936326
96.803,20.035,0.4943645
96.803,20.04,0.4941815
96.803,20.045,0.4945551
96.803,20.05,0.494553
96.803,20.055,0.4947914
96.803,20.06,0.4945613
96.803,20.065,0.4943396
96.803,20.07,0.4945322
96.803,20.075,0.4942864
96.803,20.08,0.494517
96.803,20.085,0.4945256
96.803,20.09,0.4942952
96.803,20.095,0.4942906
96.803,20.1,0.4940457
96.803,20.105,0.4939471
96.803,20.11,0.4940651
96.803,20.115,0.4940106
96.803,20.12,0.4942638
96.803,20.125,0.4940843
96.803,20.13,0.4938918
96.803,20.135,0.4938804
96.803,20.14,0.4938289
96.803,20.145,0.493933
96.803,20.15,0.4937925
96.803,20.155,0.4937398
96.803,20.16,0.4938156
96.803,20.165,0.4933867
96.803,20.17,0.4936243
96.803,20.175,0.493362
96.803,20.18,0.4934857
96.803,20.185,0.4934306
96.803,20.19,0.4934413
96.803,20.195,0.4933794
96.803,20.2,0.4933887
96.803,20.205,0.4934007
96.803,20.21,0.4932445
